Código;Producto;Categoría;Costo;Precio venta;Stock actual
P001;CHOCO BERRY FANTASY 25 GR;ESENCIAS; $ 7.700 ; $ 10.000 ;
P002;CHOCO BERRY FANTASY 50 GR;ESENCIAS; $ 14.000 ; $ 20.000 ;4
P003;CHOCO BERRY FANTASY 70 GR;ESENCIAS; $ 19.040 ; $ 27.000 ;
P004;CHOCO BERRY FANTASY 125 GR;ESENCIAS; $ 32.900 ; $ 42.500 ;2
P005;CHOCO BERRY FANTASY 250 GR;ESENCIAS; $ 64.400 ; $ 75.000 ;
P006;PEACH LOVE GR 50;ESENCIAS; $ 14.200 ; $ 16.000 ;
P007;PEACH LOVE GR 70;ESENCIAS; $ 19.320 ; $ 23.000 ;
P008;SANDALO 25 G;ESENCIAS; $ 10.360 ; $ 16.000 ;1
P009;ROSAS GR 50;ESENCIAS; $ 8.550 ; $ 12.000 ;5
P010;BRISA MARINA 25GR;ESENCIAS; $ 4.300 ; $ 7.000 ;1
P011;JAZMIN 50 GR;ESENCIAS; $ 7.800 ; $ 10.000 ;
P012;PALO SANTO 50GR;ESENCIAS; $ 7.800 ; $ 14.000 ;
P013;PALO SANTO 25GR;ESENCIAS; $ 4.600 ; $ 7.000 ;1
P014;MANZANA CANELA 50 GR;ESENCIAS; $ 7.800 ; $ 14.000 ;
P015;Limoneno Fresh 50GR;ESENCIAS; $ 14.200 ; $ 21.000 ;
P016;MARUCUYA 25 GR;ESENCIAS; $ 4.900 ; $ 7.000 ;1
P017;MARUCUYA 50 GR;ESENCIAS; $ 8.400 ; $ 13.000 ;
P018;MARUCUYA 100 GR;ESENCIAS; $ 15.400 ; $ 20.000 ;1
P019;NARANJA VAINILLA 50 GR;ESENCIAS; $ 7.800 ; $ 16.000 ;
P020;FRUTOS VERDES  GR;ESENCIAS; $ 15.352 ; $ 20.000 ;
P021;MANGO ATTRATION 50 GR;ESENCIAS; $ 10.900 ; $ 20.000 ;
P022;MANGO ATTRATION 95 GR;ESENCIAS; $ 19.450 ; $ 32.000 ;
P023;MANZANILLA 100 GR;ESENCIAS; $ 14.200 ; $ 27.000 ;
P024;Vainilla floral 25 GR;ESENCIAS; $ 7.700 ; $ 10.000 ;2
P025;Vainilla floral 50 GR;ESENCIAS; $ 14.000 ; $ 20.000 ;
P026;Vainilla floral 100 GR;ESENCIAS; $ 32.900 ; $ 42.000 ;1
P027;Verbena y Bergamota 25GR;ESENCIAS; $ 7.700 ; $ 10.000 ;
P028;Verbena y Bergamota 50 GR;ESENCIAS; $ 14.000 ; $ 20.000 ;
P029;Verbena y Bergamota 125 GR;ESENCIAS; $ 32.900 ; $ 42.000 ;
P030;Pino  25GR;ESENCIAS; $ 4.200 ; $ 6.000 ;
P031;Pino  50GR;ESENCIAS; $ 7.000 ; $ 10.000 ;1
P032;Pino  100 G;ESENCIAS; $ 15.400 ; $ 19.000 ;1
P033;Gengibre cardamomo 25 Gr;ESENCIAS; $ 8.400 ; $ 13.000 ;
P034;Gengibre cardamomo 50 Gr;ESENCIAS; $ 15.400 ; $ 24.000 ;6
P035;Gengibre cardamomo  100 Gr;ESENCIAS; $ 36.400 ; $ 46.000 ;1
P036;Crema Frutos rojos 25 Gr;ESENCIAS; $ 6.150 ; $ 12.000 ;1
P037;Crema Frutos rojos 50 Gr;ESENCIAS; $ 10.900 ; $ 22.000 ;
P038;Crema de Frutos rojos 125 Gr;ESENCIAS; $ 25.150 ; $ 35.000 ;1
P039;JP Champaña 25 Gr;ESENCIAS; $ 8.400 ; $ 13.000 ;
P040;JP Champaña 50 Gr;ESENCIAS; $ 15.400 ; $ 24.000 ;4
P041;JP Champaña  125 Gr;ESENCIAS; $ 36.400 ; $ 47.000 ;1
P042;Galleta de mantequilla 25 Gr;ESENCIAS; $ 5.150 ; $ 10.000 ;1
P043;Galleta de mantequilla 50 Gr;ESENCIAS; $ 8.900 ; $ 18.000 ;2
P044;Galleta de mantequilla 125 Gr;ESENCIAS; $ 20.150 ; $ 30.000 ;1
P045;Pudin de naranja ;ESENCIAS; $ 36.380 ; $ 58.000 ;
P046;Toronja kiwi 50g;ESENCIAS; $ 9.150 ; $ 13.000 ;2
P047;EUCALIPTO 25 G;ESENCIAS; $ 4.750 ; $ 7.000 ;2
P048;CANELA 25G;ESENCIAS; $ 3.675 ; $ 7.000 ;1
P049;CANELA 50G;ESENCIAS; $ 5.950 ; $ 13.000 ;2
P050;Limon 50G;ESENCIAS; $ 11.300 ; $ 16.000 ;1
P051;MENTA 50G;ESENCIAS; $ 9.300 ; $ 16.000 ;1
P052;CERA MOLDE LA CERERIA ;CERAS; $ 17.417 ; $ 23.000 ;17
P053;CERA MOLDE EL MUNDO DE LAS VELAS  x  20;CERAS; $ 18.500 ; $ 23.000 ;
P054;CERA MOLDEABLE EL MUNDO DE LAS VELAS  ;CERAS; $ 27.000 ; $ 33.000 ;
P055;CERA DE PALMA ASHAS;CERAS; $ 18.500 ; $ 23.500 ;15
P056;CERA DE SOYA BPF ASHAS;CERAS; $ 22.600 ; $ 27.500 ;9
P057;CERA DE SOYA APF ASHAS;CERAS; $ 24.000 ; $ 29.800 ;20
P058;CERA GEL ASHAS;CERAS; $ 19.800 ; $ 29.000 ;
P059;PABILO POR METRO SIN PARAFINAR 100% ALGODÓN IMPORTADO 40 HILOS;PABILOS;587; $ 1.100 ;
P060;PABILO POR METRO SIN PARAFINAR 100% ALGODÓN IMPORTADO 60 HILOS;PABILOS;743; $ 1.200 ;
P061;PABILO POR METRO SIN PARAFINAR 100% ALGODÓN IMPORTADO 88 HILOS;PABILOS;890; $ 1.400 ;
P062;PABILO POR METRO  PARAFINADO 100% ALGODÓN IMPORTADO 21 HILOS;PABILOS;1185; $ 1.500 ;61
P063;PABILO POR METRO  PARAFINADO 100% ALGODÓN IMPORTADO 40 HILOS;PABILOS;1259; $ 1.600 ;
P064;PABILO POR METRO  PARAFINADO 100% ALGODÓN IMPORTADO 60 HILOS;PABILOS;1480; $ 1.900 ;
P065;PABILO POR METRO  PARAFINADO 100% ALGODÓN IMPORTADO 88 HILOS;PABILOS;1849; $ 2.500 ;
P066;PABILO POR METRO  PARAFINADO 100% ALGODÓN IMPORTADO 100 HILOS;PABILOS;2087; $ 2.500 ;
P067;PABILO INDIVIDAUL ECOLOGICO  40 HILOS;PABILOS;743; $ 1.100 ;
P068;PABILO INDIVIDAUL ECOLOGICO  60 HILOS;PABILOS;831; $ 1.200 ;
P069;PABILO INDIVIDAUL ECOLOGICO  88 HILOS;PABILOS;890; $ 1.300 ;
P070;PABILOS DE MADERA  TALLA XL ;PABILOS;1300; $ 1.600 ;
P071;Pabilo individual ecologico 40 hilos;PABILOS;345; $ 400 ;
P072;Pabilo individual ecologico 60 hilos;PABILOS;415; $ 500 ;
P073;PEBETEROS;EMVASES;14528; $ 20.000 ;-3
P074;"VASO DE VIDRIO INDUSTRIAL CON TAPA DE MADERA  8 cm diámetro * 
9 cm de alto";EMVASES;10000; $ 12.100 ;
P075;"Vaso de Vidrio tipo Pudin grande con tapa de Corcho  4.9 cm de diámetro 
por 7.15 cm de alto 
por 7.2 cm de ancho";EMVASES;4000; $ 5.000 ;
P076;Vaso de Vidrio Cuadrado pequeño con tapa de Bambú  6*6*6 cm;EMVASES;8000; $ 9.800 ;
P077;Bombonera para velas pequeña 6.5*9 cm;EMVASES;8500; $ 10.500 ;
P078;ENVASE DE VIDRIO CON TAPA DE CORCHO;EMVASES;3500; $ 4.000 ;
P079;BARNIZ PARA VELAS 250 ML;EMVASES;12250; $ 35.000 ;
P080;BARNIZ PARA VELAS 500 ML;EMVASES;23500; $ 65.000 ;
P081;Envases para velas de te;EMVASES;750; $ 800 ;
P082;Molde de plastico para was melts;EMVASES;3700; $ 5.000 ;
P083;Colorante liquido rosado 10 ml;;3800;5000;3
P084;Colorante liquido rojo 10 ml;;3800;5000;3
P085;Colorante liquido naranja 10 ml;;3800;5000;3
P086;Colorante liquido azul 10 ml;;3800;5000;3
P087;Colorante liquido morado 10 ml;;3800;5000;3
P088;Colorante liquido azul turqueza 10 ml;;3800;5000;3
P089;Colorante liquido cafe 10 ml;;3800;5000;3
P090;Colorante liquido amarillo 10 ml;;3800;5000;3
P091;Colorante liquido dorado 10 ml;;3800;5000;2
P092;Colorante liquido plateado 10 ml;;3800;5000;2
P093;Colorante liquido naranja 30 ml;;6850;10000;2
P094;Colorante liquido coral 30 ml;;6850;10000;1
P095;Colorante liquido rojo pastel  30 ml;;6850;10000;2
P096;Colorante liquido ciruela 30 ml;;6850;10000;1
P097;Colorante liquido prisma 30 ml;;6850;10000;1
P098;Colorante liquido verde  30 ml;;6850;10000;1
P099;Colorante liquido cobalto 30 ml;;6850;10000;1
P100;Colorante liquido cafe 30 ml;;6850;10000;1
P101;Ácido esteárico 1 KILO;;24600;27000;
P102;Ácido esteárico 500 GR;;13000;15000;1
P103;Vybar;;5900;120000;
P104;Vybar 125 GR;;7125;15000;
P105;Vybar 250 GR;;13250;30000;
P106;Vybar 500 GR;;25500;60000;
P107;LJ60 125 ML;;7776;11000;
P108;JABON PARA MOLDES 125 ML;;4200;6000;
P064;Crema Frutos rojos 25 Gr;1;12000; $ 12.000 ;
P065;Crema Frutos rojos 50 Gr;1;22000; $ 22.000 ;
P066;Crema de Frutos rojos 125 Gr;1;35000; $ 35.000 ;
;;;;;
